"Director_id","Name","Rating","Movie_Count"
nm0185848,Eli Craig,7.5,1
nm1243905,Michael Gracey,7.5,1
nm1492802,Shashanka Ghosh,7.5,1
nm2850440,Bilal Lashari,7.5,1
nm0220240,Eugenio Derbez,7.5,1
nm0240196,Michael Dudok de Wit,7.5,1
nm0605137,Brett Morgen,7.5,1
nm0258221,Ildikó Enyedi,7.5,1
nm5961051,Atlee,7.5,1
nm7546166,Gustav Möller,7.5,1
nm0496969,Lee Chang-dong,7.5,1
nm3603873,Amar Kaushik,7.5,1
nm3819854,Om Raut,7.5,1
nm2304675,Lulu Wang,7.5,1
nm0592135,Lin-Manuel Miranda,7.5,1
nm3232264,Reinaldo Marcus Green,7.5,1
nm2193504,Emerald Fennell,7.5,1
nm3021346,Jérémy Clapin,7.5,1
nm0001837,Peter Weir,7.48,8
nm0001348,Werner Herzog,7.48,6
nm0412465,James Ivory,7.47,3
nm0276062,Todd Field,7.47,3
nm1258686,Joachim Trier,7.47,3
nm0000500,Richard Linklater,7.46,11
nm0001661,Rob Reiner,7.46,10
nm1560977,Cary Joji Fukunaga,7.45,4
nm0583292,Nicholas Meyer,7.45,2
nm0000770,David Anspaugh,7.45,2
nm0452102,Abbas Kiarostami,7.45,2
nm0000576,Sean Penn,7.45,2
nm0233757,Jaco Van Dormael,7.45,2
nm0667734,Pawel Pawlikowski,7.45,2
nm0001789,Andrei Tarkovsky,7.44,7
nm0005139,Mike Leigh,7.43,6
nm0000269,Jean-Jacques Annaud,7.43,3
nm0783139,Henry Selick,7.43,3
nm0516360,Ken Loach,7.43,3
nm0000264,Pedro Almodóvar,7.42,12
nm0000186,David Lynch,7.42,10
nm0000759,Paul Thomas Anderson,7.42,9
nm0359734,Michael Haneke,7.42,6
nm0885249,Jean-Marc Vallée,7.42,5
nm0197636,Stephen Daldry,7.42,4
nm0000570,Alan Parker,7.41,7
nm0939182,Kar-Wai Wong,7.41,7
nm0000591,Roman Polanski,7.4,13
nm0001129,Jonathan Demme,7.4,4
nm2588606,Steve McQueen,7.4,4
nm0159147,Aditya Chopra,7.4,3
nm1027719,Farhan Akhtar,7.4,3
